"","Year","Provinces","intermon","intermonH","premon","premonH","mon","monH","postmon","postmonH"
"X69.2",2008,"Ranong",2.56561587990438,76.0724096790105,3.11776723850186,81.939913631495,9.76594737942494,86.5985477262501,4.40155374847321,85.2467666608357
"X56.2",2008,"Ratchaburi",12.4088783895576,68.111995983675,27.1382008889357,75.0911010290157,54.4460155334273,80.7663836479187,23.4066982667071,78.8127950326556
"X12.2",2008,"Rayong",8.54917063676613,70.8855401885264,27.8279243145808,79.9271891169482,49.9105531004174,82.769657628172,15.1120332628105,79.3691039399706
"X34.2",2008,"Roi Et",1.7331579882185,63.6567036094905,5.86065353421615,68.8068544303846,17.0468574538722,80.5341911351906,7.52966573635162,75.6400264991904
"X18.2",2008,"Sa Kaeo",2.76604184802877,63.753757991889,12.6585934336312,74.8278673100419,23.0435560078237,83.0849679311117,5.16175654575252,79.7114117603429
"X36.2",2008,"Sakon Nakhon",0.387957230669489,67.6695002399112,1.19212707359328,71.8508146650579,3.46461930763048,83.9707427238571,0.804685774675466,74.2982792065722
"X2.2",2008,"Samut Prakan",11.8083212239452,68.3518657534141,10.4515199802996,73.6743399802781,35.8429866721645,75.9145281333623,29.4646960540501,76.8253021991159
"X60.2",2008,"Samut Sakhon",17.554875960658,67.8244464793929,18.7781414179767,72.3582942632981,31.9847463712789,76.1385794870214,38.5880488479301,74.6218579859516
"X61.2",2008,"Samut Songkhram",10.3143521519229,68.8110454180087,5.33617011021773,72.4128479290923,12.6518871968066,76.9106586185151,3.09842135431997,75.3717519042935
"X10.2",2008,"Saraburi",3.79025585212488,63.1194791240969,8.59573444838506,70.9838084511135,18.0347213268332,80.4175924093827,8.97655812647807,76.8639208752176
"X72.2",2008,"Satun",4.21897927998491,76.6403115305234,21.8354765080979,81.7023568736322,16.1207228907441,84.0716409658064,10.9177382540489,86.0076379801164
